main_category,purchases,total_revenue,avg_order_value,share_of_revenue_pct
electronics,9899,4133247.24,417.541897161,85.2384369
appliances,1826,323272.17,177.038428258,6.666723
computers,622,262659.3,422.281832797,5.4167261
furniture,208,39523.61,190.017355769,0.8150809
auto,249,30191.42,121.250682731,0.6226265
construction,162,18871.27,116.489320988,0.3891753
kids,129,17622.9,136.611627907,0.3634306
apparel,152,12431.75,81.787828947,0.2563754
sport,32,8230.15,257.1921875,0.1697274
accessories,44,2252.25,51.1875,0.0464473
country_yard,2,511.49,255.745,0.0105483
medicine,5,219.04,43.808,0.0045172
stationery,1,8.98,8.98,0.0001852
